|WNJT-FM     |88.1  MHz |FM |201 |ND  |-                   |A  |-  |LIC    |TRENTON                  |NJ |US |BLED   -19961001KE  |0.     kW |0.11   kW |0.0     |210.0   |48488      |N |40 |16 |58.00 |W |74  |41 |11.00 |NEW YORK PUBLIC RADIO                                                       |  13.91 km |   8.64 mi |277.39 deg |0.0    m|244.   m|-         |-       |1045124 |226.   m|233490    |
|WZYE-LP     |95.9  MHz |FL |240 |ND  |-                   |L1 |-  |LIC    |MAPLEWOOD                |NJ |US |BLL    -20171026ABW |0.039  kW |0.039  kW |48.0    |0.0     |195683     |N |40 |45 |40.00 |W |74  |13 |21.00 |CARIBBEAN SPORTS INTERNATIONAL, INC.                                        |  60.55 km |  37.62 mi | 24.80 deg |97.    m|0.0    m|-         |-       |-       |43.    m|1769992   |
|WNJI-LP     |95.9  MHz |FL |240 |ND  |-                   |L1 |-  |LIC    |KEARNEY                  |NJ |US |BLL    -20180321AAN |0.07   kW |0.07   kW |23.0    |0.0     |197099     |N |40 |46 |49.52 |W |74  |10 |0.07  |GOSPEL LIGHT PRAYER CHURCH INC                                              |  64.58 km |  40.13 mi | 27.77 deg |65.    m|0.0    m|-         |-       |-       |20.    m|1781290   |
|WRAT        |95.9  MHz |FS |240 |ND  |-                   |A  |-  |LIC    |POINT PLEASANT           |NJ |US |BXLH   -20050125ACB |6.     kW |6.     kW |52.0    |52.0    |59530      |N |40 |10 |15.00 |W |74  |1  |42.00 |BEASLEY MEDIA GROUP LICENSES, LLC                                           |  43.54 km |  27.05 mi |104.07 deg |69.    m|69.0   m|-         |-       |1059624 |64.    m|1115987   |
|WRAT        |95.9  MHz |FA |240 |ND  |-                   |A  |-  |USE    |POINT PLEASANT           |NJ |US |-      --           |-      kW |-      kW |-       |-       |59530      |N |40 |10 |17.00 |W |74  |1  |39.00 |-                                                                           |  43.59 km |  27.09 mi |103.97 deg |-      m|-      m|-         |-       |-       |0.     m|292056    |
|W240CY      |95.9  MHz |FX |240 |DA  |-                   |D  |-  |LIC    |MT BETHEL                |NJ |US |BLFT   -20170821ABB |0.005  kW |0.005  kW |0.0     |0.0     |142668     |N |40 |37 |17.00 |W |74  |30 |15.00 |PENN JERSEY EDUCATIONAL RADIO CORPORATION                                   |  39.41 km |  24.49 mi |  2.46 deg |230.   m|230.0  m|124401    |330.    |1045121 |63.    m|1764961   |
|W240EE      |95.9  MHz |FX |240 |DA  |-                   |D  |-  |CP     |DOVER                    |NJ |US |BNPFT  -20180508ABR |0.06   kW |0.06   kW |0.0     |0.0     |202689     |N |40 |51 |21.00 |W |74  |30 |42.00 |CENTRO BIBLICO OF NJ, INC.                                                  |  65.41 km |  40.65 mi |  0.92 deg |329.   m|329.0  m|16125     |325.    |-       |24.    m|1787226   |
|W241CH      |96.1  MHz |FX |241 |DA  |-                   |D  |-  |LIC    |PHILADELPHIA             |PA |US |BLFT   -20170425AAD |0.     kW |0.099  kW |0.0     |0.0     |138914     |N |40 |0  |13.00 |W |75  |12 |8.00  |WURD RADIO, LLC                                                             |  64.76 km |  40.24 mi |243.30 deg |0.0    m|122.   m|124986    |130.    |-       |70.    m|1756200   |
|W241CH      |96.1  MHz |FX |241 |DA  |-                   |D  |-  |CP     |PHILADELPHIA             |PA |US |BPFT   -20170616AAU |0.25   kW |0.25   kW |0.0     |0.0     |138914     |N |40 |0  |13.00 |W |75  |12 |8.00  |WURD RADIO, LLC                                                             |  64.76 km |  40.24 mi |243.30 deg |122.   m|122.0  m|127866    |130.    |-       |70.    m|1760890   |
|WXNY-FM     |96.3  MHz |FM |242 |ND  |-                   |B  |-  |LIC    |NEW YORK                 |NY |US |BLH    -19940204KG  |6.     kW |6.     kW |415.0   |415.0   |29022      |N |40 |44 |54.00 |W |73  |59 |10.00 |UNIVISION RADIO STATIONS GROUP, INC.                                        |  70.28 km |  43.67 mi | 40.18 deg |429.   m|429.0  m|-         |-       |-       |413.   m|194663    |
|WXNY-FM     |96.3  MHz |FS |242 |ND  |-                   |B  |-  |LIC    |NEW YORK                 |NY |US |BMLH   -19950406KA  |4.6    kW |3.3    kW |373.0   |373.0   |29022      |N |40 |44 |54.00 |W |73  |59 |10.00 |UNIVISION RADIO STATIONS GROUP, INC.                                        |  70.28 km |  43.67 mi | 40.18 deg |387.   m|387.0  m|-         |-       |-       |371.   m|207938    |
|WXNY-FM     |96.3  MHz |FS |242 |DA  |-                   |B  |-  |APP    |NEW YORK                 |NY |US |BXLH   -20000331ABZ |26.    kW |26.    kW |206.0   |206.0   |29022      |N |40 |47 |15.00 |W |74  |15 |18.00 |UNIVISION RADIO STATIONS GROUP, INC.                                        |  62.15 km |  38.62 mi | 21.37 deg |273.   m|273.0  m|15893     |0.      |1044879 |84.    m|495920    |
|WXNY-FM     |96.3  MHz |FS |242 |DA  |-                   |B  |-  |LIC    |NEW YORK                 |NY |US |BXMLH  -20090625ACG |26.    kW |26.    kW |206.0   |206.0   |29022      |N |40 |47 |17.00 |W |74  |15 |19.00 |UNIVISION RADIO STATIONS GROUP, INC.                                        |  62.20 km |  38.65 mi | 21.33 deg |273.   m|273.0  m|15893     |0.      |1044879 |84.    m|1319393   |
|WXNY-FM     |96.3  MHz |FS |242 |ND  |-                   |B  |-  |LIC    |NEW YORK                 |NY |US |BXLH   -20120926AAZ |12.5   kW |12.5   kW |282.0   |282.0   |29022      |N |40 |45 |22.00 |W |73  |59 |12.00 |UNIVISION RADIO STATIONS GROUP, INC.                                        |  70.91 km |  44.06 mi | 39.70 deg |296.6  m|296.6  m|-         |-       |1238745 |281.6  m|1516172   |
|WXNY-FM     |96.3  MHz |FS |242 |ND  |-                   |B  |-  |LIC    |NEW YORK                 |NY |US |BXLH   -20171030AEM |7.1    kW |7.1    kW |387.0   |387.0   |29022      |N |40 |44 |53.60 |W |73  |59 |10.50 |UNIVISION RADIO STATIONS GROUP, INC.                                        |  70.26 km |  43.66 mi | 40.18 deg |400.1  m|400.1  m|-         |-       |1007048 |384.6  m|1770395   |
|WXNY-FM     |96.3  MHz |FA |242 |ND  |-                   |B  |-  |USE    |NEW YORK                 |NY |US |-      --           |-      kW |-      kW |-       |-       |29022      |N |40 |44 |54.00 |W |73  |59 |10.00 |-                                                                           |  70.28 km |  43.67 mi | 40.18 deg |-      m|-      m|-         |-       |-       |0.     m|292201    |
|WTDY-FM     |96.5  MHz |FM |243 |ND  |-                   |B  |-  |LIC    |PHILADELPHIA             |PA |US |BLH    -20070622ADS |9.6    kW |9.6    kW |337.8   |337.8   |51434      |N |40 |2  |30.00 |W |75  |14 |11.00 |ENTERCOM LICENSE, LLC                                                       |  65.63 km |  40.78 mi |247.76 deg |403.   m|403.0  m|-         |-       |1231524 |314.   m|1193106   |
|WTDY-FM     |96.5  MHz |FS |243 |ND  |-                   |B  |-  |LIC    |PHILADELPHIA             |PA |US |BXLH   -20050915ACS |5.     kW |5.     kW |164.3   |164.3   |51434      |N |40 |2  |19.00 |W |75  |14 |14.00 |ENTERCOM LICENSE, LLC                                                       |  65.82 km |  40.90 mi |247.51 deg |227.9  m|227.9  m|-         |-       |1026755 |152.1  m|1084171   |
|WTDY-FM     |96.5  MHz |FA |243 |ND  |-                   |B  |-  |USE    |PHILADELPHIA             |PA |US |-      --           |-      kW |-      kW |-       |-       |51434      |N |40 |2  |21.00 |W |75  |14 |13.00 |-                                                                           |  65.78 km |  40.87 mi |247.55 deg |-      m|-      m|-         |-       |-       |0.     m|292258    |
|W232CY      |96.7  MHz |FX |244 |DA  |-                   |D  |-  |CP     |PARSIPPANY               |NJ |US |BPFT   -20170410ABT |0.     kW |0.1    kW |0.0     |0.0     |141372     |N |40 |32 |22.00 |W |74  |23 |24.00 |WORLD INDIA RADIO, LLC                                                      |  32.34 km |  20.10 mi | 20.51 deg |0.0    m|81.    m|127232    |0.      |-       |56.    m|1754763   |
|W244EE      |96.7  MHz |FX |244 |ND  |-                   |D  |-  |CP     |ASBURY PARK              |NJ |US |BNPFT  -20180430ABO |0.25   kW |0.25   kW |0.0     |0.0     |202321     |N |40 |7  |49.00 |W |74  |7  |19.00 |TOWNSQUARE MEDIA MONMOUTH-OCEAN LICENSE, LLC                                |  37.46 km |  23.28 mi |113.83 deg |114.   m|114.0  m|132587    |-       |1211466 |82.    m|1783452   |
|W245AC      |96.9  MHz |FX |245 |ND  |-                   |D  |-  |LIC    |HARMONY TOWNSHIP         |NJ |US |BLFT   -19960509TE  |0.01   kW |0.01   kW |263.0   |263.0   |41196      |N |40 |46 |13.00 |W |75  |3  |37.00 |MERCER COUNTY COMMUNITY COLLEGE                                             |  72.03 km |  44.76 mi |321.19 deg |427.   m|427.0  m|-         |-       |-       |46.    m|224581    |
|W245CC      |96.9  MHz |FX |245 |DA  |-                   |D  |-  |LIC    |TRENTON                  |NJ |US |BLFT   -20141230AAA |0.01   kW |0.01   kW |120.6   |0.0     |152707     |N |40 |16 |58.00 |W |74  |41 |11.00 |WYRS BROADCASTING                                                           |  13.91 km |   8.64 mi |277.39 deg |156.   m|156.0  m|115101    |0.      |1045124 |138.   m|1666410   |
|W245AG      |96.9  MHz |FX |245 |DA  |-                   |D  |-  |LIC    |GLENSIDE                 |PA |US |BLFT   -20140422ACE |0.013  kW |0.026  kW |111.7   |0.0     |86419      |N |40 |5  |0.00  |W |75  |10 |55.00 |FOUR RIVERS COMMUNITY BROADCASTING CORP.                                    |  59.61 km |  37.04 mi |250.15 deg |175.   m|175.0  m|115980    |15.     |-       |47.    m|1634719   |
|W246AQ      |97.1  MHz |FX |246 |DA  |-                   |D  |-  |LIC    |COLLINGSWOOD             |NJ |US |BLFT   -19990414TC  |0.01   kW |0.01   kW |151.0   |0.0     |84808      |N |39 |57 |5.00  |W |75  |9  |38.00 |PRIORITY RADIO, INC.                                                        |  64.58 km |  40.13 mi |237.25 deg |175.   m|175.0  m|15122     |335.    |1030627 |161.   m|283867    |
|WQHT        |97.1  MHz |FM |246 |ND  |-                   |B  |-  |LIC    |NEW YORK                 |NY |US |BMLH   -20050215AAH |6.7    kW |6.7    kW |408.0   |408.0   |19615      |N |40 |44 |54.00 |W |73  |59 |10.00 |EMMIS LICENSE CORPORATION OF NEW YORK                                       |  70.28 km |  43.67 mi | 40.18 deg |422.   m|422.0  m|-         |-       |1007048 |407.   m|1046533   |
|WQHT        |97.1  MHz |FS |246 |DA  |-                   |B  |-  |LIC    |NEW YORK                 |NY |US |BXLH   -20020129AAC |29.5   kW |29.5   kW |194.0   |194.0   |19615      |N |40 |47 |17.00 |W |74  |15 |19.00 |EMMIS LICENSE CORPORATION OF NEW YORK                                       |  62.20 km |  38.65 mi | 21.33 deg |259.   m|259.0  m|36363     |0.      |1044879 |70.    m|615607    |
|WQHT        |97.1  MHz |FS |246 |ND  |-                   |B  |-  |CP     |NEW YORK                 |NY |US |BXPH   -20161201AFK |13.    kW |13.    kW |282.0   |282.0   |19615      |N |40 |45 |22.00 |W |73  |59 |12.00 |EMMIS LICENSE CORPORATION OF NEW YORK                                       |  70.91 km |  44.06 mi | 39.70 deg |297.2  m|297.2  m|-         |-       |1238745 |282.   m|1731341   |
|WQHT        |97.1  MHz |FS |246 |ND  |-                   |B  |-  |LIC    |NEW YORK                 |NY |US |BXLH   -20171011AAH |7.6    kW |7.6    kW |386.7   |386.7   |19615      |N |40 |44 |53.60 |W |73  |59 |10.60 |EMMIS LICENSE CORPORATION OF NEW YORK                                       |  70.26 km |  43.66 mi | 40.18 deg |400.1  m|400.1  m|-         |-       |1007048 |384.6  m|1768923   |
|WQHT        |97.1  MHz |FA |246 |ND  |-                   |B  |-  |USE    |NEW YORK                 |NY |US |-      --           |-      kW |-      kW |-       |-       |19615      |N |40 |44 |54.00 |W |73  |59 |10.00 |-                                                                           |  70.28 km |  43.67 mi | 40.18 deg |-      m|-      m|-         |-       |-       |0.     m|292539    |
|W246AR      |97.1  MHz |FX |246 |ND  |-                   |D  |-  |LIC    |BENSALEM                 |PA |US |BLFT   -20040608ABR |0.074  kW |0.074  kW |27.7    |0.0     |7927       |N |40 |6  |36.00 |W |74  |55 |34.00 |BUX-MONT EDUCATIONAL RADIO ASSOCIATION                                      |  38.40 km |  23.86 mi |243.07 deg |59.    m|59.0   m|46224     |-       |-       |30.    m|998134    |
|W246CN      |97.1  MHz |FX |246 |DA  |-                   |D  |-  |LIC    |COLMAR                   |PA |US |BLFT   -20171128AAF |0.25   kW |0.25   kW |0.0     |0.0     |141452     |N |40 |14 |18.00 |W |75  |19 |0.00  |FOUR RIVERS COMMUNITY BROADCASTING CORP.                                    |  67.50 km |  41.94 mi |267.56 deg |153.   m|153.0  m|127302    |0.      |-       |52.    m|1772145   |
|WPEN        |97.5  MHz |FM |248 |DA  |-                   |B  |-  |LIC    |BURLINGTON               |NJ |US |BLH    -20070531AOP |26.    kW |26.    kW |208.0   |208.0   |47427      |N |40 |4  |57.00 |W |75  |10 |53.00 |BEASLEY MEDIA GROUP LICENSES, LLC                                           |  59.60 km |  37.03 mi |250.05 deg |274.   m|274.0  m|71803     |0.      |1025525 |148.   m|1181088   |
|WPEN        |97.5  MHz |FS |248 |ND  |-                   |B  |-  |LIC    |BURLINGTON               |NJ |US |BXLH   -20080102AAM |0.85   kW |0.85   kW |350.0   |350.0   |47427      |N |40 |2  |21.00 |W |75  |14 |13.00 |BEASLEY MEDIA GROUP LICENSES, LLC                                           |  65.78 km |  40.87 mi |247.55 deg |416.   m|416.0  m|-         |-       |1026755 |342.   m|1217054   |
|WPEN        |97.5  MHz |FA |248 |ND  |-                   |B  |-  |USE    |BURLINGTON               |NJ |US |-      --           |-      kW |-      kW |-       |-       |47427      |N |40 |14 |5.00  |W |74  |46 |2.00  |-                                                                           |  20.98 km |  13.04 mi |260.25 deg |-      m|-      m|-         |-       |-       |0.     m|292666    |
|W248CG      |97.5  MHz |FX |248 |DA  |-                   |D  |-  |LIC    |JERSEY CITY              |NJ |US |BLFT   -20180913AAO |0.25   kW |0.25   kW |0.0     |0.0     |140791     |N |40 |42 |57.00 |W |74  |2  |5.00  |CANTICO NUEVO MINISTRY, INC.                                                |  64.87 km |  40.31 mi | 39.50 deg |176.   m|176.0  m|130699    |0.      |-       |174.   m|1792059   |
|WSKQ-FM     |97.9  MHz |FM |250 |ND  |-                   |B  |-  |LIC    |NEW YORK                 |NY |US |BLH    -19940204KA  |6.     kW |6.     kW |415.0   |415.0   |61641      |N |40 |44 |54.00 |W |73  |59 |10.00 |WSKQ LICENSING, INC.                                                        |  70.28 km |  43.67 mi | 40.18 deg |429.   m|429.0  m|-         |-       |-       |413.   m|194656    |
|WSKQ-FM     |97.9  MHz |FS |250 |ND  |-                   |B  |-  |LIC    |NEW YORK                 |NY |US |BMLH   -19950214KB  |4.6    kW |3.3    kW |373.0   |373.0   |61641      |N |40 |44 |54.00 |W |73  |59 |10.00 |WSKQ LICENSING, INC.                                                        |  70.28 km |  43.67 mi | 40.18 deg |387.   m|387.0  m|-         |-       |-       |371.   m|206474    |
|WSKQ-FM     |97.9  MHz |FS |250 |ND  |-                   |B  |-  |LIC    |NEW YORK                 |NY |US |BXLH   -20040824AAJ |12.5   kW |12.5   kW |281.0   |281.0   |61641      |N |40 |45 |22.00 |W |73  |59 |12.00 |WSKQ LICENSING, INC.                                                        |  70.91 km |  44.06 mi | 39.70 deg |297.   m|297.0  m|-         |-       |1238745 |282.   m|1027066   |
|WSKQ-FM     |97.9  MHz |FS |250 |ND  |-                   |B  |-  |LIC    |NEW YORK                 |NY |US |BXLH   -20171019AAE |7.1    kW |7.1    kW |386.7   |386.7   |61641      |N |40 |44 |53.60 |W |73  |59 |10.60 |WSKQ LICENSING, INC.                                                        |  70.26 km |  43.66 mi | 40.18 deg |400.1  m|400.1  m|-         |-       |1007048 |384.6  m|1769736   |
|WSKQ-FM     |97.9  MHz |FA |250 |ND  |-                   |B  |-  |USE    |NEW YORK                 |NY |US |-      --           |-      kW |-      kW |-       |-       |61641      |N |40 |44 |54.00 |W |73  |59 |10.00 |-                                                                           |  70.28 km |  43.67 mi | 40.18 deg |-      m|-      m|-         |-       |-       |0.     m|292884    |
|WOGL        |98.1  MHz |FM |251 |ND  |-                   |B  |-  |LIC    |PHILADELPHIA             |PA |US |BMLH   -20110422AAL |9.6    kW |9.6    kW |338.0   |338.0   |9622       |N |40 |2  |29.60 |W |75  |14 |11.40 |ENTERCOM LICENSE, LLC                                                       |  65.64 km |  40.79 mi |247.75 deg |403.   m|403.0  m|-         |-       |1231524 |314.   m|1424814   |
|WOGL        |98.1  MHz |FS |251 |ND  |-                   |B  |-  |LIC    |PHILADELPHIA             |PA |US |BXLH   -20051213AAE |10.    kW |10.    kW |261.0   |261.0   |9622       |N |40 |2  |29.60 |W |75  |14 |11.40 |ENTERCOM LICENSE, LLC                                                       |  65.64 km |  40.79 mi |247.75 deg |324.5  m|324.5  m|-         |-       |1231524 |235.5  m|1100820   |
|WOGL        |98.1  MHz |FA |251 |ND  |-                   |B  |-  |USE    |PHILADELPHIA             |PA |US |-      --           |-      kW |-      kW |-       |-       |9622       |N |40 |2  |31.00 |W |75  |14 |11.00 |-                                                                           |  65.62 km |  40.77 mi |247.78 deg |-      m|-      m|-         |-       |-       |0.     m|292969    |
|WMGQ        |98.3  MHz |FM |252 |ND  |-                   |A  |-  |LIC    |NEW BRUNSWICK            |NJ |US |BLH    -20101206AAM |1.2    kW |1.2    kW |158.0   |158.0   |55179      |N |40 |28 |37.00 |W |74  |29 |33.00 |BEASLEY MEDIA GROUP LICENSES, LLC                                           |  23.48 km |  14.59 mi |  6.55 deg |185.4  m|185.4  m|-         |-       |1045877 |150.   m|1410413   |
|WMGQ        |98.3  MHz |FS |252 |ND  |-                   |A  |-  |LIC    |NEW BRUNSWICK            |NJ |US |BXMLH  -20090128AEU |1.2    kW |1.2    kW |159.0   |159.0   |55179      |N |40 |28 |33.00 |W |74  |29 |34.00 |BEASLEY MEDIA GROUP LICENSES, LLC                                           |  23.36 km |  14.51 mi |  6.53 deg |184.   m|184.0  m|-         |-       |1045877 |148.   m|1290924   |
|WMGQ        |98.3  MHz |FS |252 |ND  |-                   |A  |-  |LIC    |NEW BRUNSWICK            |NJ |US |BXLH   -20101206AAL |1.25   kW |1.25   kW |156.0   |156.0   |55179      |N |40 |28 |37.00 |W |74  |29 |33.00 |BEASLEY MEDIA GROUP LICENSES, LLC                                           |  23.48 km |  14.59 mi |  6.55 deg |183.4  m|183.4  m|-         |-       |1045877 |148.   m|1410529   |
|WMGQ        |98.3  MHz |FA |252 |ND  |-                   |A  |-  |USE    |NEW BRUNSWICK            |NJ |US |-      --           |-      kW |-      kW |-       |-       |55179      |N |40 |28 |33.00 |W |74  |29 |34.00 |-                                                                           |  23.36 km |  14.51 mi |  6.53 deg |-      m|-      m|-         |-       |-       |0.     m|293067    |
|W252CS      |98.3  MHz |FX |252 |DA  |-                   |D  |-  |LIC    |BROOKLYN                 |NY |US |BLFT   -20151130FFB |0.     kW |0.024  kW |0.0     |0.0     |155892     |N |40 |41 |57.00 |W |73  |59 |31.00 |SOUND OF LONG ISLAND, INC.                                                  |  65.89 km |  40.94 mi | 42.95 deg |0.0    m|122.   m|122226    |0.      |-       |102.   m|1712602   |
|W252CS      |98.3  MHz |FX |252 |DA  |-                   |D  |-  |CP     |BROOKLYN                 |NY |US |BPFT   -20161227AAO |0.01   kW |0.01   kW |0.0     |0.0     |155892     |N |40 |45 |22.00 |W |73  |59 |12.00 |SOUND OF LONG ISLAND, INC.                                                  |  70.91 km |  44.06 mi | 39.70 deg |283.   m|283.0  m|126612    |0.      |1238745 |268.   m|1747743   |
|WBBO        |98.5  MHz |FM |253 |DA  |-                   |A  |-  |LIC    |OCEAN ACRES              |NJ |US |BLH    -20061201AHS |3.4    kW |3.4    kW |136.0   |136.0   |59495      |N |39 |42 |56.40 |W |74  |17 |31.00 |PRESS COMMUNICATIONS, LLC                                                   |  64.33 km |  39.98 mi |162.03 deg |153.6  m|153.6  m|75723     |0.      |1038028 |135.3  m|1155417   |
|870430NN    |98.5  MHz |FA |253 |ND  |-                   |A  |-  |USE    |OCEAN ACRES              |NJ |US |-      --           |-      kW |-      kW |-       |-       |3972       |N |39 |44 |30.00 |W |74  |18 |0.00  |-                                                                           |  61.37 km |  38.14 mi |161.82 deg |-      m|-      m|-         |-       |-       |0.     m|294957    |
|WJYN-LP     |98.5  MHz |FL |253 |ND  |-                   |L1 |-  |LIC    |NORTH PHILADELPHIA       |PA |US |BLL    -20170824ABM |0.1    kW |0.1    kW |26.9    |0.0     |196013     |N |39 |59 |13.82 |W |75  |9  |23.95 |UPTOWN ENTERTAINMENT AND DEVELOPMENT CORPORATION                            |  62.21 km |  38.66 mi |240.16 deg |60.    m|0.0    m|-         |-       |-       |33.    m|1765147   |
|WQEW-LP     |98.5  MHz |FL |253 |ND  |-                   |L1 |-  |LIC    |PHILADELPHIA             |PA |US |BLL    -20171026ABT |0.077  kW |0.077  kW |34.1    |0.0     |196846     |N |39 |59 |14.30 |W |75  |9  |24.80 |GREATER PHILADELPHIA ASIAN CULTURE CENTER, INC.                             |  62.22 km |  38.66 mi |240.18 deg |67.2   m|0.0    m|-         |-       |-       |37.2   m|1769849   |
|W253CA      |98.5  MHz |FX |253 |DA  |-                   |D  |-  |LIC    |LANSDALE                 |PA |US |BLFT   -20171130AAR |0.25   kW |0.25   kW |0.0     |0.0     |151896     |N |40 |14 |18.00 |W |75  |19 |0.00  |WNPV, INC                                                                   |  67.50 km |  41.94 mi |267.56 deg |153.   m|153.0  m|126137    |0.      |-       |52.    m|1772133   |
|WEPN-FM     |98.7  MHz |FM |254 |ND  |-                   |B  |-  |LIC    |NEW YORK                 |NY |US |BMLH   -20100414AAI |6.     kW |6.     kW |415.0   |415.0   |63781      |N |40 |44 |54.00 |W |73  |59 |10.00 |EMMIS NEW YORK RADIO LICENSE LLC                                            |  70.28 km |  43.67 mi | 40.18 deg |429.   m|429.0  m|-         |-       |1007048 |413.   m|1363591   |
|WEPN-FM     |98.7  MHz |FS |254 |ND  |-                   |B  |-  |LIC    |NEW YORK                 |NY |US |BMLH   -19950725KD  |4.6    kW |3.3    kW |373.0   |373.0   |63781      |N |40 |44 |54.00 |W |73  |59 |10.00 |EMMIS NEW YORK RADIO LICENSE LLC                                            |  70.28 km |  43.67 mi | 40.18 deg |387.   m|387.0  m|-         |-       |-       |371.   m|211550    |
|WEPN-FM     |98.7  MHz |FS |254 |DA  |-                   |B  |-  |LIC    |NEW YORK                 |NY |US |BXLH   -20020129AAB |29.5   kW |29.5   kW |194.0   |194.0   |63781      |N |40 |47 |17.00 |W |74  |15 |19.00 |EMMIS NEW YORK RADIO LICENSE LLC                                            |  62.20 km |  38.65 mi | 21.33 deg |259.   m|259.0  m|36344     |0.      |1044879 |70.    m|615636    |
|WEPN-FM     |98.7  MHz |FS |254 |ND  |-                   |B  |-  |LIC    |NEW YORK                 |NY |US |BXLH   -20060914AAT |0.39   kW |0.39   kW |396.0   |396.0   |63781      |N |40 |44 |54.00 |W |73  |59 |10.00 |EMMIS NEW YORK RADIO LICENSE LLC                                            |  70.28 km |  43.67 mi | 40.18 deg |410.5  m|410.5  m|-         |-       |1007048 |395.   m|1136511   |
|WEPN-FM     |98.7  MHz |FS |254 |ND  |-                   |B  |-  |CP     |NEW YORK                 |NY |US |BXPH   -20161201AFF |12.5   kW |12.5   kW |282.0   |282.0   |63781      |N |40 |45 |22.00 |W |73  |59 |12.00 |EMMIS NEW YORK RADIO LICENSE LLC                                            |  70.91 km |  44.06 mi | 39.70 deg |297.2  m|297.2  m|-         |-       |1238745 |282.   m|1731345   |
|WEPN-FM     |98.7  MHz |FS |254 |ND  |-                   |B  |-  |LIC    |NEW YORK                 |NY |US |BXLH   -20171011AAP |7.1    kW |7.1    kW |386.7   |386.7   |63781      |N |40 |44 |53.60 |W |73  |59 |10.50 |EMMIS NEW YORK RADIO LICENSE LLC                                            |  70.26 km |  43.66 mi | 40.18 deg |400.1  m|400.1  m|-         |-       |1007048 |384.6  m|1768936   |
|WEPN-FM     |98.7  MHz |FA |254 |ND  |-                   |B  |-  |USE    |NEW YORK                 |NY |US |-      --           |-      kW |-      kW |-       |-       |63781      |N |40 |44 |54.00 |W |73  |59 |10.00 |-                                                                           |  70.28 km |  43.67 mi | 40.18 deg |-      m|-      m|-         |-       |-       |0.     m|293224    |
|WUSL        |98.9  MHz |FM |255 |ND  |-                   |B  |-  |LIC    |PHILADELPHIA             |PA |US |BLH    -19980922KE  |27.    kW |27.    kW |204.0   |204.0   |20349      |N |40 |2  |37.00 |W |75  |14 |32.00 |AMFM RADIO LICENSES, L.L.C., AS DEBTOR IN POSSESSION                        |  66.01 km |  41.01 mi |248.10 deg |271.   m|271.0  m|-         |-       |1026707 |191.   m|274154    |
|WUSL        |98.9  MHz |FS |255 |ND  |-                   |B  |-  |LIC    |PHILADELPHIA             |PA |US |BLH    -19980922KD  |32.    kW |32.    kW |172.0   |172.0   |20349      |N |40 |2  |37.00 |W |75  |14 |32.00 |AMFM RADIO LICENSES, L.L.C., AS DEBTOR IN POSSESSION                        |  66.01 km |  41.01 mi |248.10 deg |239.   m|239.0  m|-         |-       |1026707 |158.   m|274153    |
|WUSL        |98.9  MHz |FA |255 |ND  |-                   |B  |-  |USE    |PHILADELPHIA             |PA |US |-      --           |-      kW |-      kW |-       |-       |20349      |N |40 |2  |31.00 |W |75  |14 |11.00 |-                                                                           |  65.62 km |  40.77 mi |247.78 deg |-      m|-      m|-         |-       |-       |0.     m|293288    |
|WAWZ        |99.1  MHz |FM |256 |DA  |-                   |B  |-  |LIC    |ZAREPHATH                |NJ |US |BLH    -20030702AAO |28.    kW |28.    kW |200.0   |200.0   |52601      |N |40 |36 |41.00 |W |74  |34 |12.00 |PILLAR OF FIRE                                                              |  38.46 km |  23.89 mi |354.24 deg |265.   m|265.0  m|39297     |0.      |1224038 |85.    m|667957    |
|WAWZ        |99.1  MHz |FS |256 |ND  |-                   |B  |-  |LIC    |ZAREPHATH                |NJ |US |BXLH   -20080522AAA |18.    kW |18.    kW |182.0   |182.0   |52601      |N |40 |36 |41.00 |W |74  |34 |12.00 |PILLAR OF FIRE                                                              |  38.46 km |  23.89 mi |354.24 deg |247.   m|247.0  m|-         |-       |1224038 |67.    m|1284833   |
|WAWZ        |99.1  MHz |FA |256 |ND  |-                   |B  |-  |USE    |ZAREPHATH                |NJ |US |-      --           |-      kW |-      kW |-       |-       |52601      |N |40 |36 |42.00 |W |74  |34 |14.00 |-                                                                           |  38.49 km |  23.92 mi |354.18 deg |-      m|-      m|-         |-       |-       |0.     m|293347    |
|WBAI        |99.5  MHz |FM |258 |ND  |-                   |B  |-  |LIC    |NEW YORK                 |NY |US |BLH    -19940204KK  |4.3    kW |4.3    kW |415.0   |415.0   |51249      |N |40 |44 |54.00 |W |73  |59 |10.00 |PACIFICA FOUNDATION, INC.                                                   |  70.28 km |  43.67 mi | 40.18 deg |429.   m|429.0  m|-         |-       |1007048 |413.   m|194667    |
|WBAI        |99.5  MHz |FM |258 |ND  |-                   |B  |-  |CP     |NEW YORK                 |NY |US |BPED   -20170803ABU |10.    kW |10.    kW |282.3   |282.3   |51249      |N |40 |45 |22.00 |W |73  |59 |12.00 |PACIFICA FOUNDATION, INC.                                                   |  70.91 km |  44.06 mi | 39.70 deg |297.   m|297.0  m|-         |-       |1238745 |282.   m|1760727   |
|WBAI        |99.5  MHz |FS |258 |ND  |-                   |B  |-  |LIC    |NEW YORK                 |NY |US |BMLH   -19950802KA  |3.3    kW |2.3    kW |373.0   |373.0   |51249      |N |40 |44 |54.00 |W |73  |59 |10.00 |PACIFICA FOUNDATION, INC.                                                   |  70.28 km |  43.67 mi | 40.18 deg |387.   m|387.0  m|-         |-       |1007048 |371.   m|212316    |
